,Type,PRECIPITATION_MA,TEMPERATURE_MA
18713,10,3.18,28.8
18714,10,13.32,69.0
18715,10,1.1,25.3
18716,10,5.54,68.4
18717,10,0.4,14.4
18718,10,0.97,24.1
18719,10,3.15,71.3
18724,10,7.45,68.8
18725,10,1.71,25.9
18744,10,5.79,73.0
18745,10,0.77,35.6
18746,10,5.78,72.8
18747,10,2.0,29.4
18748,10,1.23,33.2
18749,10,4.06,70.9
18750,10,1.89,31.0
18751,10,4.21,74.8
18752,10,1.41,72.2
18753,10,0.58,26.9
18754,10,1.34,26.7
18755,10,2.06,74.0
18756,10,7.98,70.9
18757,10,4.63,37.8
18758,10,7.55,71.5
18759,10,0.91,31.1
18760,10,0.61,21.4
18761,10,2.73,70.4
18762,10,3.02,72.2
18763,10,1.95,32.2
18768,10,2.82,32.7
18769,10,9.95,70.6
18788,10,2.76,72.8
18789,10,1.04,27.0
18790,10,5.86,70.9
18791,10,0.31,25.1
18792,10,3.93,67.2
18793,10,1.34,24.0
18794,10,9.13,70.9
18795,10,1.89,25.0
18796,10,0.26,20.1
18797,10,3.49,69.1
18798,10,6.15,70.1
18799,10,2.29,19.3
18800,10,3.47,29.9
18801,10,6.08,67.9
18802,10,9.14,68.3
18803,10,1.09,24.6
18804,10,8.59,67.2
18805,10,0.87,14.4
18806,10,1.42,23.7
18807,10,2.58,69.8
18812,10,4.58,68.0
18813,10,1.16,25.8
18832,10,3.32,73.2
18833,10,0.67,29.2
18834,10,0.54,25.3
18835,10,5.15,71.8
18836,10,1.42,26.4
18837,10,3.5,67.9
18838,10,7.04,72.3
18839,10,2.04,26.4
18840,10,0.34,22.7
18841,10,4.27,69.8
18842,10,4.23,71.3
18843,10,1.58,20.7
18844,10,5.02,30.9
18845,10,4.86,68.2
18846,10,1.31,25.2
18847,10,9.82,69.0
18848,10,4.75,67.9
18849,10,0.54,15.2
18850,10,2.35,71.1
18851,10,1.09,25.0
18856,10,4.91,68.6
18857,10,1.51,26.8
18876,5,3.9,74.8
18877,5,3.74,50.0
18878,5,6.44,73.7
18879,5,3.83,39.0
18880,5,10.99,73.6
18881,5,7.61,43.9
18882,5,5.07,42.2
18883,5,5.7,77.7
18884,5,6.11,73.1
18885,5,4.56,37.7
18886,5,6.64,39.1
18887,5,3.73,76.3
18888,5,6.31,76.2
18889,5,5.65,51.3
18892,5,2.81,41.5
18893,5,3.54,75.5
18894,5,6.17,39.8
18895,5,3.71,74.6
18896,5,1.05,74.4
18897,5,6.72,45.8
18902,5,4.44,42.4
18903,5,6.89,76.1
18920,4,3.6,45.9
18921,4,5.93,72.3
18922,4,3.13,71.7
18923,4,2.55,35.7
18924,4,7.22,40.1
18925,4,7.52,70.5
18926,4,5.41,74.2
18927,4,4.66,39.2
18928,4,5.4,70.4
18929,4,2.17,34.4
18930,4,5.18,35.9
18931,4,3.97,73.6
18932,4,6.91,48.2
18933,4,7.2,72.7
18936,4,3.07,38.2
18937,4,5.22,73.0
18938,4,5.45,36.8
18939,4,6.75,72.8
18940,4,6.83,41.7
18941,4,1.57,71.1
18946,4,4.01,40.5
18947,4,3.78,72.1
18964,4,5.32,48.7
18965,4,4.81,74.7
18966,4,4.65,74.1
18967,4,3.1,38.6
18968,4,5.45,73.8
18969,4,3.63,43.2
18970,4,5.14,40.8
18971,4,6.45,77.5
18972,4,3.27,36.4
18973,4,5.68,74.0
18974,4,6.46,37.2
18975,4,2.45,76.8
18976,4,6.8,48.5
18977,4,3.45,75.6
18980,4,2.36,39.9
18981,4,4.03,76.0
18982,4,7.02,75.1
18983,4,5.1,36.7
18984,4,1.98,75.0
18985,4,4.53,44.6
18990,4,5.26,77.3
18991,4,6.27,41.7
19008,5,5.32,70.9
19009,5,3.53,46.0
19010,5,3.4,36.1
19011,5,5.39,70.2
19012,5,7.33,40.1
19013,5,7.01,69.5
19014,5,4.99,72.6
19015,5,4.73,38.8
19016,5,6.25,69.4
19017,5,2.34,34.6
19018,5,4.22,72.2
19019,5,4.69,36.3
19020,5,4.35,72.2
19021,5,5.73,47.6
19024,5,4.04,72.9
19025,5,3.52,40.0
19026,5,5.89,37.4
19027,5,6.16,71.8
19028,5,1.26,70.4
19029,5,5.39,42.0
19034,5,3.47,40.5
19035,5,2.95,72.3
19052,10,6.06,71.2
19053,10,4.23,45.5
19054,10,2.91,35.5
19055,10,5.57,70.6
19056,10,8.29,69.5
19057,10,7.25,39.5
19058,10,4.04,38.3
19059,10,5.34,73.1
19060,10,2.13,33.8
19061,10,5.81,69.2
19062,10,5.14,35.3
19063,10,4.51,72.4
19064,10,6.8,47.6
19065,10,5.75,72.0
19068,10,3.47,38.8
19069,10,4.66,72.7
19070,10,5.53,71.8
19071,10,5.09,36.9
19072,10,6.71,42.2
19073,10,1.27,70.4
19078,10,3.34,40.2
19079,10,4.62,72.1
19096,11,4.49,46.9
19097,11,6.4,74.1
19098,11,4.01,73.3
19099,11,2.43,36.7
19100,11,7.69,72.2
19101,11,5.08,41.4
19102,11,6.07,75.6
19103,11,5.8,40.3
19104,11,6.19,72.3
19105,11,2.06,34.6
19106,11,4.64,74.6
19107,11,5.97,36.3
19108,11,5.73,73.8
19109,11,7.19,47.9
19112,11,3.6,38.2
19113,11,4.29,73.8
19114,11,5.45,36.3
19115,11,6.52,72.8
19116,11,2.07,72.0
19117,11,6.09,41.5
19122,11,4.19,73.2
19123,11,4.42,40.5
19140,4,3.58,45.6
19141,4,5.37,72.5
19142,4,2.25,35.6
19143,4,3.37,72.2
19144,4,8.16,70.7
19145,4,5.66,40.0
19146,4,5.24,74.3
19147,4,4.38,38.9
19148,4,5.45,70.6
19149,4,1.83,34.1
19150,4,5.22,35.6
19151,4,4.47,73.9
19152,4,7.12,47.8
19153,4,8.05,72.8
19156,4,3.15,37.4
19157,4,5.11,73.0
19158,4,7.72,72.8
19159,4,5.05,36.3
19160,4,6.96,41.1
19161,4,1.65,71.6
19166,4,4.31,40.5
19167,4,5.01,72.4
19184,1,4.78,47.1
19185,1,6.37,73.2
19186,1,2.84,36.7
19187,1,3.34,71.8
19188,1,6.57,41.2
19189,1,7.39,71.6
19190,1,6.58,75.0
19191,1,5.82,40.4
19192,1,2.68,34.8
19193,1,5.03,71.4
19194,1,4.24,74.4
19195,1,5.52,36.4
19196,1,6.36,73.2
19197,1,7.33,48.5
19200,1,3.26,38.5
19201,1,3.97,74.0
19202,1,6.99,72.7
19203,1,6.24,37.3
19204,1,1.7,71.6
19205,1,6.72,42.0
19210,1,4.01,40.7
19211,1,3.38,72.9
19228,4,4.65,48.4
19229,4,4.32,74.6
19230,4,5.02,73.8
19231,4,3.46,38.7
19232,4,7.86,73.4
19233,4,6.2,43.8
19234,4,5.21,41.6
19235,4,5.86,78.1
19236,4,5.58,73.5
19237,4,3.54,37.8
19238,4,5.55,38.2
19239,4,3.38,77.0
19240,4,3.58,76.1
19241,4,6.52,50.5
19242,4,2.74,41.6
19243,4,3.5,76.0
19244,4,5.09,74.0
19245,4,4.57,38.2
19246,4,1.67,74.4
19247,4,5.45,44.7
19254,4,5.87,41.6
19255,4,5.46,76.2
19272,4,3.31,76.8
19273,4,4.84,49.5
19274,4,2.56,39.0
19275,4,3.84,75.9
19276,4,5.56,74.6
19277,4,2.52,42.8
19278,4,4.1,79.3
19279,4,5.58,41.7
19280,4,5.67,75.4
19281,4,2.99,37.0
19282,4,5.28,37.7
19283,4,2.52,78.2
19284,4,2.92,77.4
19285,4,7.41,48.5
19286,4,2.71,40.6
19287,4,6.3,77.2
19288,4,8.02,75.4
19289,4,7.08,36.4
19290,4,3.44,44.4
19291,4,1.72,75.9
19298,4,7.29,78.1
19299,4,7.14,41.4
19316,4,4.56,47.2
19317,4,3.54,75.8
19318,4,2.29,38.2
19319,4,8.27,75.4
19320,4,8.68,74.1
19321,4,4.72,42.7
19322,4,5.37,41.2
19323,4,5.29,78.5
19324,4,3.28,36.6
19325,4,4.01,74.9
19326,4,6.67,36.8
19327,4,3.24,77.9
19328,4,6.64,48.5
19329,4,5.51,76.2
19330,4,4.27,76.1
19331,4,3.84,39.2
19332,4,7.04,74.6
19333,4,4.79,36.2
19335,4,5.9,43.9
19336,4,1.21,75.7
19342,4,5.47,41.5
19343,4,4.85,77.0
19360,5,3.8,76.5
19361,5,4.81,50.0
19362,5,3.35,75.8
19363,5,3.02,38.4
19364,5,3.98,42.9
19365,5,5.31,74.9
19366,5,5.02,79.3
19367,5,5.51,41.9
19368,5,5.32,75.6
19369,5,3.12,37.1
19370,5,3.18,78.5
19371,5,5.45,37.8
19372,5,3.61,77.6
19373,5,7.47,48.8
19374,5,6.16,77.0
19375,5,2.99,40.7
19376,5,7.13,75.7
19377,5,6.57,37.0
19379,5,1.46,75.5
19381,5,4.21,44.8
19386,5,7.48,42.4
19387,5,6.99,77.7
19404,5,3.93,71.9
19405,5,2.33,46.7
19406,5,5.29,71.3
19407,5,4.55,37.4
19408,5,6.39,42.6
19409,5,6.95,70.9
19410,5,4.08,73.7
19411,5,6.28,40.5
19412,5,4.65,71.0
19413,5,2.62,36.8
19414,5,6.36,39.0
19415,5,6.63,73.4
19416,5,5.29,74.1
19417,5,5.44,49.7
19418,5,5.23,73.1
19419,5,3.2,41.1
19420,5,7.39,38.6
19421,5,6.32,72.2
19422,5,5.48,43.0
19424,5,2.13,71.4
19430,5,3.49,72.6
19431,5,4.17,41.6
19448,1,4.14,48.0
19449,1,4.71,74.4
19450,1,3.11,37.6
19451,1,6.87,73.0
19452,1,5.9,42.1
19453,1,8.85,71.5
19454,1,5.04,40.8
19455,1,7.25,75.5
19456,1,5.71,72.0
19457,1,2.38,35.3
19458,1,5.99,36.3
19459,1,3.11,75.2
19460,1,5.9,74.1
19461,1,6.71,48.1
19462,1,3.89,38.5
19463,1,2.53,74.4
19464,1,4.84,37.3
19465,1,6.1,73.0
19467,1,6.28,42.8
19469,1,2.25,72.7
19474,1,6.29,74.6
19475,1,5.05,41.3
19492,4,6.6,71.9
19493,4,3.96,47.2
19494,4,5.45,70.9
19495,4,4.45,37.0
19496,4,10.43,71.2
19497,4,7.55,42.2
19498,4,9.27,73.8
19499,4,6.52,40.2
19500,4,4.55,69.9
19501,4,3.28,34.7
19502,4,2.31,73.0
19503,4,6.51,36.2
19504,4,6.02,48.5
19505,4,6.3,72.6
19506,4,3.24,39.2
19507,4,3.13,72.6
19508,4,6.53,37.6
19509,4,5.36,71.1
19510,4,0.73,70.7
19513,4,5.6,42.6
19518,4,4.03,40.3
19519,4,4.4,72.2
19536,10,1.49,31.8
19537,10,4.07,73.2
19538,10,1.54,27.0
19539,10,5.33,70.9
19540,10,4.3,68.6
19541,10,1.31,31.1
19542,10,6.91,72.2
19543,10,2.03,29.9
19544,10,5.82,70.7
19545,10,0.54,24.4
19546,10,1.51,23.2
19547,10,6.9,72.0
19548,10,8.8,68.4
19549,10,4.39,36.0
19550,10,1.08,29.0
19551,10,11.27,70.7
19552,10,1.03,17.1
19553,10,6.92,68.8
19554,10,1.96,28.9
19555,10,2.05,70.6
19560,10,2.77,30.7
19561,10,5.24,69.3
19580,10,0.84,34.4
19581,10,4.34,73.0
19582,10,7.98,72.6
19583,10,1.95,28.5
19584,10,4.28,70.4
19585,10,1.18,32.5
19586,10,4.85,74.2
19587,10,2.23,29.6
19588,10,1.48,71.9
19589,10,0.44,25.6
19590,10,2.45,73.9
19591,10,1.34,25.1
19592,10,6.03,69.9
19593,10,4.73,37.0
19594,10,0.88,30.2
19595,10,8.28,70.9
19596,10,3.08,69.6
19597,10,0.84,20.1
19598,10,2.59,71.6
19599,10,1.96,31.3
19604,10,8.68,69.6
19605,10,2.91,31.7
19624,10,0.79,37.9
19625,10,5.39,73.6
19626,10,4.43,73.5
19627,10,2.27,31.3
19628,10,5.58,70.7
19629,10,1.52,34.4
19630,10,4.03,75.1
19631,10,1.56,32.0
19632,10,1.48,72.8
19633,10,0.43,28.4
19634,10,0.76,75.0
19635,10,1.34,26.8
19636,10,4.48,38.6
19637,10,9.49,70.8
19638,10,0.79,31.4
19639,10,7.74,72.2
19640,10,3.54,71.4
19641,10,1.07,22.8
19642,10,2.7,73.0
19643,10,2.27,33.8
19648,10,3.15,33.7
19649,10,11.08,71.6
19668,10,6.69,74.1
19669,10,0.99,36.4
19670,10,2.4,30.0
19671,10,5.54,73.6
19672,10,4.48,70.6
19673,10,1.43,32.7
19674,10,1.84,30.2
19675,10,5.35,74.4
19676,10,0.58,26.6
19677,10,2.74,72.1
19678,10,1.22,25.5
19679,10,5.0,74.3
19680,10,6.43,70.4
19681,10,3.91,37.3
19682,10,0.74,30.6
19683,10,6.12,72.0
19684,10,1.02,20.4
19685,10,3.85,70.8
19686,10,2.42,31.9
19687,10,3.85,71.8
19692,10,2.77,32.5
19693,10,8.16,70.6
19712,10,1.71,73.2
19713,10,1.2,26.8
19714,10,4.32,73.6
19715,10,0.57,25.5
19716,10,4.22,69.1
19717,10,1.44,22.1
19718,10,11.88,72.6
19719,10,1.66,24.4
19720,10,3.0,70.1
19721,10,0.55,21.3
19722,10,1.51,19.3
19723,10,3.68,72.2
19724,10,3.76,69.0
19725,10,2.08,26.7
19726,10,1.21,24.7
19727,10,15.06,68.3
19728,10,0.57,12.9
19729,10,4.54,67.6
19730,10,1.08,22.9
19731,10,0.55,71.8
19736,10,0.76,25.6
19737,10,4.81,67.7
19756,10,1.25,73.0
19757,10,0.92,26.6
19758,10,0.58,24.3
19759,10,3.87,73.1
19760,10,1.62,21.2
19761,10,2.54,68.4
19762,10,1.98,23.6
19763,10,12.56,72.1
19764,10,3.56,70.0
19765,10,0.41,20.2
19766,10,1.67,18.4
19767,10,4.47,71.4
19768,10,3.38,68.4
19769,10,2.36,26.2
19770,10,12.24,68.1
19771,10,1.1,23.6
19772,10,4.15,67.5
19773,10,0.51,11.7
19774,10,1.08,22.2
19775,10,0.84,70.8
19780,10,0.77,24.8
19781,10,5.47,67.5
19800,10,3.77,74.7
19801,10,0.36,34.6
19802,10,2.48,75.8
19803,10,0.96,28.3
19804,10,1.35,30.9
19805,10,3.16,71.4
19806,10,8.96,74.8
19807,10,2.78,28.1
19808,10,3.56,73.0
19809,10,0.38,26.6
19810,10,1.98,76.0
19811,10,1.27,24.9
19812,10,5.3,71.0
19813,10,5.56,32.7
19814,10,10.51,71.6
19815,10,1.42,30.0
19816,10,0.25,20.4
19817,10,4.71,69.8
19818,10,4.78,72.9
19819,10,1.39,28.3
19824,10,1.8,29.0
19825,10,5.39,71.2
19844,10,0.38,36.2
19845,10,4.29,73.6
19846,10,2.6,74.6
19847,10,1.5,29.2
19848,10,1.04,32.7
19849,10,3.18,70.6
19850,10,2.0,30.6
19851,10,5.88,74.5
19852,10,5.78,71.8
19853,10,0.39,27.8
19854,10,2.04,75.1
19855,10,1.29,25.0
19856,10,6.99,71.3
19857,10,5.59,34.1
19858,10,1.0,31.3
19859,10,8.6,71.1
19860,10,0.66,21.5
19861,10,4.77,69.6
19862,10,1.28,30.5
19863,10,4.18,72.8
19868,10,4.8,71.2
19869,10,2.9,30.8
19888,10,2.04,73.4
19889,10,0.45,30.8
19890,10,0.65,26.1
19891,10,3.29,72.7
19892,10,4.22,68.8
19893,10,1.36,27.7
19894,10,2.17,26.9
19895,10,8.04,72.9
19896,10,3.34,70.8
19897,10,0.37,24.3
19898,10,3.05,72.6
19899,10,1.61,22.2
19900,10,5.31,31.3
19901,10,5.2,68.9
19902,10,8.37,69.4
19903,10,1.32,27.0
19904,10,4.67,68.3
19905,10,0.41,16.6
19906,10,1.21,25.8
19907,10,3.06,71.1
19912,10,4.61,69.0
19913,10,1.44,27.8
19932,4,3.2,47.2
19933,4,7.02,72.1
19934,4,4.95,36.9
19935,4,4.09,71.1
19936,4,8.67,42.6
19937,4,9.98,71.1
19938,4,7.27,40.2
19939,4,5.97,74.0
19940,4,3.01,35.8
19941,4,3.74,69.8
19942,4,3.81,73.4
19943,4,7.29,38.3
19944,4,5.52,73.5
19945,4,5.69,49.5
19948,4,3.8,40.4
19949,4,4.03,73.6
19950,4,7.19,71.9
19951,4,7.44,38.0
19952,4,5.81,42.1
19953,4,0.84,70.8
19958,4,6.28,72.7
19959,4,4.69,40.8
19976,5,5.18,74.0
19977,5,4.57,49.5
19978,5,5.34,72.8
19979,5,5.02,38.9
19980,5,7.93,44.6
19981,5,8.09,73.2
19982,5,7.47,42.5
19983,5,6.1,76.5
19984,5,4.26,72.4
19985,5,3.71,38.0
19986,5,7.17,39.8
19987,5,3.26,75.5
19988,5,6.07,75.0
19989,5,5.77,50.4
19992,5,3.74,41.6
19993,5,4.16,73.9
19994,5,5.96,73.3
19995,5,7.55,39.4
19996,5,6.22,44.8
19997,5,0.7,72.7
20002,5,3.91,74.5
20003,5,4.35,41.5
20020,10,5.49,72.0
20021,10,3.58,44.7
20022,10,2.64,71.3
20023,10,3.54,35.8
20024,10,6.47,70.5
20025,10,6.56,39.4
20026,10,4.23,73.8
20027,10,3.69,38.3
20028,10,2.11,33.7
20029,10,4.68,70.7
20030,10,3.72,35.8
20031,10,3.67,72.9
20032,10,4.8,73.2
20033,10,6.0,46.8
20036,10,3.09,38.8
20037,10,2.59,72.4
20038,10,5.63,71.8
20039,10,5.58,36.9
20040,10,5.74,41.0
20041,10,1.48,71.0
20046,10,3.22,40.1
20047,10,3.73,71.9
20064,14,3.89,75.4
20065,14,3.97,47.7
20066,14,2.75,37.8
20067,14,5.67,74.2
20068,14,5.01,42.4
20069,14,9.31,73.0
20070,14,5.44,41.3
20071,14,7.21,76.8
20072,14,3.81,73.4
20073,14,2.51,35.0
20074,14,5.73,36.4
20075,14,4.4,76.0
20076,14,7.3,75.1
20077,14,6.58,48.0
20080,14,3.91,38.9
20081,14,2.06,76.0
20082,14,5.6,36.8
20083,14,6.62,73.7
20084,14,1.52,73.9
20085,14,6.84,42.7
20090,14,6.06,75.2
20091,14,5.53,41.4
20108,5,4.44,71.9
20109,5,2.85,46.4
20110,5,4.27,71.0
20111,5,3.49,36.9
20112,5,6.48,70.6
20113,5,6.48,41.2
20114,5,5.52,39.8
20115,5,3.7,73.5
20116,5,2.76,35.6
20117,5,4.97,70.6
20118,5,6.24,73.1
20119,5,5.48,37.9
20120,5,4.88,73.4
20121,5,5.53,48.4
20122,5,2.98,40.1
20123,5,4.29,72.8
20124,5,6.31,37.9
20125,5,6.23,72.0
20126,5,1.77,71.0
20127,5,5.63,42.4
20134,5,3.74,41.1
20135,5,3.49,72.1
20152,5,4.1,46.3
20153,5,6.91,71.2
20154,5,3.68,36.0
20155,5,6.12,70.4
20156,5,8.56,69.3
20157,5,8.55,40.3
20158,5,4.65,39.0
20159,5,7.45,73.0
20160,5,2.67,34.6
20161,5,6.3,69.2
20162,5,2.91,72.4
20163,5,5.26,35.9
20164,5,5.98,72.1
20165,5,6.8,48.3
20166,5,5.04,73.2
20167,5,3.39,40.0
20168,5,5.87,37.8
20169,5,6.18,72.0
20170,5,5.8,42.8
20173,5,1.09,70.6
20178,5,4.1,72.5
20179,5,3.18,40.8
20196,4,3.86,49.0
20197,4,4.69,73.8
20198,4,6.13,72.8
20199,4,4.08,38.1
20200,4,9.17,72.8
20201,4,6.7,43.0
20202,4,4.72,41.6
20203,4,6.89,76.3
20204,4,4.57,72.1
20205,4,3.81,36.6
20206,4,2.92,75.2
20207,4,6.92,37.7
20208,4,6.8,49.3
20209,4,6.26,74.6
20210,4,3.6,73.8
20211,4,2.99,40.0
20212,4,6.8,38.4
20213,4,5.7,73.1
20215,4,0.94,72.9
20217,4,6.44,43.8
20222,4,3.84,74.6
20223,4,4.11,41.2
20240,4,5.9,72.4
20241,4,3.93,47.4
20242,4,4.7,37.3
20243,4,5.59,71.5
20244,4,7.74,43.5
20245,4,9.89,72.3
20246,4,7.19,41.4
20247,4,7.63,75.2
20248,4,3.09,35.6
20249,4,4.24,70.8
20250,4,2.67,73.6
20251,4,6.9,37.3
20252,4,6.5,48.7
20253,4,5.85,73.1
20254,4,4.04,40.3
20255,4,3.93,72.6
20256,4,7.57,38.1
20257,4,5.92,71.9
20259,4,1.03,71.0
20261,4,6.01,43.0
20266,4,4.48,40.6
20267,4,4.74,73.3
20284,1,6.65,73.1
20285,1,4.09,46.1
20286,1,3.15,72.5
20287,1,2.28,36.0
20288,1,5.58,40.6
20289,1,7.79,71.3
20290,1,5.9,74.8
20291,1,5.45,39.7
20292,1,6.12,71.4
20293,1,2.02,34.3
20294,1,5.8,36.0
20295,1,4.54,74.1
20296,1,7.16,73.0
20297,1,7.06,47.9
20298,1,3.5,37.7
20299,1,5.03,73.3
20300,1,7.0,72.8
20301,1,5.48,36.2
20302,1,6.62,41.2
20305,1,1.99,71.5
20310,1,4.39,40.4
20311,1,4.28,72.5
20328,4,4.03,74.9
20329,4,4.1,49.4
20330,4,3.62,38.9
20331,4,5.32,74.0
20332,4,9.81,73.5
20333,4,7.17,44.2
20334,4,4.81,41.9
20335,4,5.21,78.0
20336,4,6.53,73.4
20337,4,4.04,37.7
20338,4,6.14,38.7
20339,4,3.39,76.8
20340,4,4.04,76.3
20341,4,5.51,50.8
20342,4,2.57,41.6
20343,4,3.33,75.7
20344,4,3.92,74.4
20345,4,5.91,39.3
20346,4,1.22,74.3
20347,4,6.76,45.3
20354,4,6.14,76.0
20355,4,5.06,42.1
20372,15,1.24,31.4
20373,15,5.61,73.4
20374,15,6.99,71.0
20375,15,1.58,26.6
20376,15,4.07,68.0
20377,15,1.41,29.8
20378,15,2.2,28.2
20379,15,7.13,72.8
20380,15,0.66,23.3
20381,15,4.24,70.6
20382,15,7.27,72.4
20383,15,1.34,22.3
20384,15,8.88,68.8
20385,15,4.57,34.9
20386,15,10.98,70.4
20387,15,1.08,28.4
20388,15,6.36,69.0
20389,15,0.91,17.0
20390,15,2.13,71.8
20391,15,1.63,28.8
20396,15,5.46,69.5
20397,15,2.73,31.0
20416,10,4.23,73.7
20417,10,0.37,34.5
20418,10,3.83,73.7
20419,10,1.61,28.2
20420,10,0.85,32.0
20421,10,3.07,70.1
20422,10,2.32,30.0
20423,10,6.93,74.1
20424,10,2.58,72.4
20425,10,0.35,26.1
20426,10,1.88,74.7
20427,10,1.26,25.6
20428,10,6.38,70.6
20429,10,5.18,34.5
20430,10,7.93,71.1
20431,10,0.94,30.2
20432,10,3.67,70.0
20433,10,0.43,19.4
20434,10,1.28,28.6
20435,10,2.69,72.1
20440,10,2.39,30.4
20441,10,9.93,70.6
20460,13,5.12,73.4
20461,13,0.49,36.6
20462,13,1.51,29.5
20463,13,2.74,73.9
20464,13,1.35,33.1
20465,13,4.12,70.6
20466,13,1.96,31.4
20467,13,5.34,74.4
20468,13,0.37,27.8
20469,13,4.62,72.0
20470,13,1.85,74.7
20471,13,1.22,25.1
20472,13,5.06,34.8
20473,13,5.9,71.2
20474,13,7.71,71.0
20475,13,0.89,30.8
20476,13,3.9,69.4
20477,13,0.59,21.3
20478,13,4.04,72.2
20479,13,1.25,30.3
20484,13,4.82,71.1
20485,13,2.99,31.2
20504,1,5.7,74.1
20505,1,4.6,47.2
20506,1,2.83,36.8
20507,1,4.92,72.7
20508,1,5.92,41.4
20509,1,8.05,71.8
20510,1,6.58,75.4
20511,1,5.6,40.4
20512,1,2.3,34.6
20513,1,5.65,72.0
20514,1,3.97,74.7
20515,1,6.0,36.2
20516,1,7.07,47.9
20517,1,6.07,73.7
20520,1,3.43,38.2
20521,1,3.5,74.1
20522,1,7.03,72.7
20523,1,5.55,36.6
20524,1,6.12,41.8
20525,1,2.22,72.0
20530,1,4.27,73.4
20531,1,4.3,40.7
20548,4,3.89,45.5
20549,4,4.91,69.8
20550,4,4.52,34.5
20551,4,4.87,68.3
20552,4,7.68,69.1
20553,4,7.36,41.4
20554,4,6.23,72.2
20555,4,7.5,39.0
20556,4,4.94,67.9
20557,4,3.34,35.8
20558,4,9.61,37.7
20559,4,4.45,71.8
20560,4,6.98,48.7
20561,4,6.61,72.3
20564,4,4.06,72.2
20565,4,4.88,40.1
20566,4,8.35,37.5
20567,4,8.17,71.0
20568,4,1.69,69.3
20569,4,5.67,41.5
20574,4,7.14,72.0
20575,4,5.45,40.3
20592,4,6.01,72.9
20593,4,5.1,47.5
20594,4,3.52,71.1
20595,4,3.33,36.9
20596,4,6.54,41.4
20597,4,6.82,71.1
20598,4,8.82,74.9
20599,4,5.27,40.2
20600,4,3.82,70.9
20601,4,2.95,34.6
20602,4,2.71,74.4
20603,4,4.17,36.0
20604,4,6.33,48.1
20605,4,4.6,72.9
20608,4,3.33,38.3
20609,4,1.86,73.8
20610,4,6.48,37.2
20611,4,7.35,71.9
20612,4,5.96,41.9
20613,4,1.98,71.4
20618,4,3.8,40.4
20619,4,4.86,73.3
20636,5,5.55,71.3
20637,5,3.79,45.4
20638,5,3.67,70.6
20639,5,3.47,35.7
20640,5,7.04,39.6
20641,5,6.62,69.8
20642,5,4.59,73.0
20643,5,4.11,38.4
20644,5,2.23,34.0
20645,5,5.7,69.8
20646,5,4.41,72.4
20647,5,4.08,35.9
20648,5,6.14,47.1
20649,5,4.57,72.5
20652,5,3.45,39.2
20653,5,3.09,72.6
20654,5,5.35,71.7
20655,5,5.65,36.8
20656,5,1.28,70.3
20657,5,5.55,41.3
20662,5,3.41,71.9
20663,5,3.36,40.1
20680,5,5.45,75.0
20681,5,4.96,49.5
20682,5,7.11,73.8
20683,5,3.39,38.4
20684,5,10.43,73.4
20685,5,6.88,43.6
20686,5,5.1,42.2
20687,5,5.03,77.2
20688,5,3.45,37.2
20689,5,5.35,72.9
20690,5,4.31,76.7
20691,5,6.0,38.0
20692,5,4.71,75.8
20693,5,7.47,50.0
20696,5,3.31,74.7
20697,5,2.56,40.1
20698,5,4.87,74.1
20699,5,5.79,38.9
20700,5,1.61,74.1
20701,5,5.95,44.8
20706,5,6.31,75.8
20707,5,5.42,42.2
20724,4,3.68,76.4
20725,4,5.01,50.1
20726,4,3.36,75.5
20727,4,3.27,38.6
20728,4,5.19,74.6
20729,4,3.34,42.7
20730,4,4.74,78.9
20731,4,5.63,41.9
20732,4,3.18,37.2
20733,4,5.06,75.4
20734,4,5.36,38.2
20735,4,3.23,78.1
20736,4,7.62,49.1
20737,4,3.58,77.4
20740,4,7.1,76.6
20741,4,3.09,40.6
20742,4,6.65,37.2
20743,4,6.13,75.5
20744,4,1.53,75.3
20745,4,3.99,44.7
20750,4,6.79,78.0
20751,4,7.61,41.6
20768,5,4.13,44.6
20769,5,5.71,71.2
20770,5,2.72,35.4
20771,5,4.36,70.7
20772,5,8.04,69.6
20773,5,6.33,39.1
20774,5,4.91,73.0
20775,5,3.7,37.9
20776,5,1.91,33.2
20777,5,5.3,69.5
20778,5,4.24,72.3
20779,5,4.57,35.2
20780,5,5.52,72.0
20781,5,6.45,46.9
20782,5,3.26,38.5
20783,5,4.41,72.2
20784,5,5.52,71.2
20785,5,5.22,36.7
20786,5,6.69,41.5
20787,5,1.43,70.3
20794,5,3.23,39.9
20795,5,4.13,71.8
20812,4,4.69,74.6
20813,4,4.75,47.9
20814,4,6.95,74.3
20815,4,3.09,37.7
20816,4,9.21,73.2
20817,4,5.49,42.1
20818,4,5.11,40.8
20819,4,5.11,77.6
20820,4,3.04,36.8
20821,4,5.33,73.5
20822,4,4.49,77.6
20823,4,6.12,37.1
20824,4,7.25,49.6
20825,4,5.39,75.8
20826,4,3.3,40.1
20827,4,3.15,75.2
20828,4,4.79,37.1
20829,4,6.98,73.5
20831,4,4.68,44.2
20833,4,1.41,74.4
20838,4,5.51,41.9
20839,4,7.16,76.0
20856,4,5.33,72.6
20857,4,3.42,44.9
20858,4,2.46,36.0
20859,4,4.51,72.6
20860,4,4.32,40.1
20861,4,8.04,70.9
20862,4,4.62,74.6
20863,4,4.27,38.7
20864,4,5.69,70.8
